,text,emotion,X,y,NaiveBayes,SVM
  (0, 1867)	0.401707404514
  (0, 2105)	0.255345579665
  (0, 57)	0.381492102687
  (0, 3071)	0.138853733379
  (0, 513)	0.436265691244
  (0, 1396)	0.185680518067
  (0, 2792)	0.436265691244",positive,positive,positive
16,A  testing inner city selfdrivingcars is going to a lot of mobility options ecotransitchat,positive,"  (0, 3078)	0.0584183303504
  (0, 3475)	0.23110689031
  (0, 1765)	0.453898811521
  (0, 586)	0.268983376972
  (0, 1464)	0.299375388748
  (0, 2071)	0.355491010653
  (0, 2217)	0.27097870786
  (0, 2420)	0.438976107462
  (0, 1065)	0.427401158941",positive,positive,positive
18,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,neutral,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",neutral,positive,positive
20,Why SelfDrivingCars are an Incredibly Bad Idea,negative,"  (0, 3078)	0.0877261489151
  (0, 1740)	0.681614734503
  (0, 296)	0.507627037112
  (0, 1687)	0.519634744506",negative,positive,negative
22,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,neutral,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",neutral,positive,positive
24,A    partnership will get selfdrivingcars done sooner rather than later ecotransitchat,positive,"  (0, 3078)	0.0750869985999
  (0, 1065)	0.549352746484
  (0, 2468)	0.460344151642
  (0, 3238)	0.450569650661
  (0, 1954)	0.526919115732",positive,positive,positive
26,RT D selfdrivingcars could be on California roads by June DMV says ,positive,"  (0, 3078)	0.0857944059391
  (0, 2959)	0.234320922994
  (0, 476)	0.340454483052
  (0, 2919)	0.34591127537
  (0, 1894)	0.644689674204
  (0, 965)	0.370644160589
  (0, 3004)	0.38622181411",positive,positive,positive
28,Is  the next     oin founder of   SelfDrivingCars revolutionary at startupgrind ,positive,"  (0, 3078)	0.0673406732397
  (0, 2381)	0.523223641744
  (0, 1364)	0.464575203547
  (0, 2877)	0.481777080627
  (0, 3296)	0.523223641744",positive,positive,positive
30,RT  Why see what selfdrivingcars see Transparancy in AI MachineLearning will build trust  aid adoption,positive,"  (0, 3078)	0.0620116010941
  (0, 2959)	0.169365536665
  (0, 70)	0.187042435376
  (0, 3572)	0.481817810751
  (0, 2093)	0.29156116181
  (0, 448)	0.342014723008
  (0, 3601)	0.342014723008
  (0, 72)	0.481817810751
  (0, 45)	0.386305766965",positive,positive,positive
32,To Survive the Streets SelfDriving Cars Must Learn to Think Like Humans  ArtificialIntelligence SelfDrivingCars,positive,"  (0, 3078)	0.0755358598122
  (0, 509)	0.181768972833
  (0, 3382)	0.371003411568
  (0, 2021)	0.311175662401
  (0, 1661)	0.326325767374
  (0, 3071)	0.186796864897
  (0, 3498)	0.339479509049
  (0, 3337)	0.39429042146
  (0, 1982)	0.403791150419
  (0, 179)	0.389410334054",positive,neutral,neutral
34, More Than Doubles SelfDrivingCars Test Fleet in California  autonomouscars,positive,"  (0, 3078)	0.0839048327318
  (0, 476)	0.332956165855
  (0, 985)	0.65192386755
  (0, 3469)	0.333993344479
  (0, 1326)	0.500170471754
  (0, 254)	0.308825819211",positive,positive,positive
36,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,positive,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",positive,neutral,neutral
38,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,neutral,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",neutral,positive,positive
40,GM to develop its own selfdriving car tech General Motors ,neutral,"  (0, 3071)	0.194627487441
  (0, 1459)	0.395489486037
  (0, 903)	0.452958634334
  (0, 492)	0.240773505378
  (0, 3427)	0.25965430461
  (0, 1438)	0.47551510168
  (0, 2247)	0.499028889372",neutral,neutral,neutral
42,GM to develop its own selfdriving car tech General Motors ,neutral,"  (0, 3071)	0.194627487441
  (0, 1459)	0.395489486037
  (0, 903)	0.452958634334
  (0, 492)	0.240773505378
  (0, 3427)	0.25965430461
  (0, 1438)	0.47551510168
  (0, 2247)	0.499028889372",neutral,neutral,neutral
44,RT  Amber was in Brussels today for a discussion with the EN on AI and selfdrivingcars Do you think we need a cod,neutral,"  (0, 3078)	0.0621956176419
  (0, 2959)	0.169868121033
  (0, 70)	0.187597475121
  (0, 107)	0.381309539242
  (0, 440)	0.381309539242
  (0, 3531)	0.307735661029
  (0, 944)	0.354273637907
  (0, 1123)	0.337502404039
  (0, 3498)	0.279524689261
  (0, 2296)	0.280922896268
  (0, 614)	0.387452111396",neutral,positive,positive
46,With only  of vehicles being automated stopandgo waves caused by humans could be eliminated selfdrivingcars ,positive,"  (0, 3078)	0.0597243266172
  (0, 1661)	0.258017672172
  (0, 3745)	0.250890869658
  (0, 227)	0.326679460429
  (0, 3320)	0.448789827816
  (0, 3813)	0.464046142844
  (0, 526)	0.390528376114
  (0, 1106)	0.436956110524",positive,positive,positive
48,Uber constructed a lifesized fake city so its selfdriving cars maybe won kill  Cars AI selfdrivingcars Uber,neutral,"  (0, 3078)	0.0519588771109
  (0, 70)	0.156720915809
  (0, 509)	0.250066968073
  (0, 3071)	0.128492021829
  (0, 586)	0.239241247484
  (0, 3624)	0.3550232567
  (0, 696)	0.403710144181
  (0, 2017)	0.403710144181
  (0, 1260)	0.256449250947
  (0, 2142)	0.329456192388
  (0, 3879)	0.33605837509
  (0, 1914)	0.311786241894",neutral,positive,neutral
50, GM of yauto talks new car tech selfdrivingcars electroniccars hybrids  more ,neutral,"  (0, 3078)	0.062793294987
  (0, 2309)	0.240182817957
  (0, 1459)	0.315544376535
  (0, 492)	0.192103022516
  (0, 3427)	0.207167215705
  (0, 3919)	0.459409347891
  (0, 3404)	0.367485202903
  (0, 1099)	0.459409347891
  (0, 1672)	0.449243657456",neutral,neutral,neutral
52, GM of yauto talks new car tech selfdrivingcars electroniccars hybrids  more ,neutral,"  (0, 3078)	0.062793294987
  (0, 2309)	0.240182817957
  (0, 1459)	0.315544376535
  (0, 492)	0.192103022516
  (0, 3427)	0.207167215705
  (0, 3919)	0.459409347891
  (0, 3404)	0.367485202903
  (0, 1099)	0.459409347891
  (0, 1672)	0.449243657456",neutral,neutral,neutral
54,its  we literally have selfdrivingcars and yet  cant contact one of their drivers  ridiculous incompetence,neutral,"  (0, 3078)	0.0640587794995
  (0, 2035)	0.481360448079
  (0, 701)	0.481360448079
  (0, 1020)	0.273340618885
  (0, 2896)	0.45829734529
  (0, 1736)	0.497723979921",neutral,neutral,neutral
56,RT er Man dresses up like a car seat to perform selfdriving car research AutonomousVehicles SelfDrivingCars ,positive,"  (0, 3078)	0.0563984892345
  (0, 2959)	0.15403505518
  (0, 2851)	0.279752651942
  (0, 2021)	0.232337823249
  (0, 264)	0.200876164878
  (0, 3071)	0.139470987689
  (0, 492)	0.345078889379
  (0, 1156)	0.357606487146
  (0, 2112)	0.345768444134
  (0, 1005)	0.395773471176
  (0, 3031)	0.326349649925
  (0, 2498)	0.389086392448",positive,positive,positive
58,New sensor innovations for selfdrivingcars ,positive,"  (0, 3078)	0.100830966318
  (0, 2309)	0.385675980733
  (0, 3109)	0.707576073105
  (0, 1769)	0.583458014673",positive,positive,positive
60,Lyft Gets  Billion From Alphabets Investment Arm To Take On Uber ,positive,"  (0, 3624)	0.226724602672
  (0, 2085)	0.306126577484
  (0, 1444)	0.351037499499
  (0, 363)	0.376145539678
  (0, 102)	0.465704900479
  (0, 1826)	0.424859548123
  (0, 169)	0.439070598044",positive,positive,positive
62,RT  Interesting IR Insurance selfdrivingcars ,positive,"  (0, 3078)	0.0973533448624
  (0, 2959)	0.26589059479
  (0, 1801)	0.493234459426
  (0, 1842)	0.696497495802
  (0, 1785)	0.437533454976",positive,positive,positive
64,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,positive,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",positive,neutral,neutral
66,Interesting IR Insurance selfdrivingcars ,positive,"  (0, 3078)	0.100988610526
  (0, 1801)	0.511652299069
  (0, 1842)	0.722505368821
  (0, 1785)	0.453871366609",positive,positive,positive
68,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,positive,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",positive,neutral,neutral
70,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,positive,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",positive,neutral,neutral
72,RT  Could builtin cybersecurity solutions hold the key to autonomous vehicles  selfdrivingcars,neutral,"  (0, 3078)	0.0662168371433
  (0, 2959)	0.180850840184
  (0, 252)	0.226222336569
  (0, 3745)	0.278164707714
  (0, 451)	0.449896722667
  (0, 793)	0.368386988487
  (0, 3230)	0.438097918962
  (0, 1616)	0.405962873568
  (0, 1906)	0.373502982902",neutral,neutral,neutral
74,Lyft Gets  Billion From Google Parent Company  gadget transportation selfdrivingcars,neutral,"  (0, 3078)	0.0631966260496
  (0, 2085)	0.29151662699
  (0, 1444)	0.33428416651
  (0, 363)	0.358193920585
  (0, 1478)	0.19513049942
  (0, 2458)	0.474881920479
  (0, 649)	0.348550532031
  (0, 1415)	0.452129219072
  (0, 3576)	0.285444214518",neutral,neutral,neutral
76, One day selfdrivingcars could register traffic incidents ,positive,"  (0, 3078)	0.0778286078569
  (0, 817)	0.420708161204
  (0, 2806)	0.604712808406
  (0, 3559)	0.356428023704
  (0, 1730)	0.569410953673",positive,positive,positive
78,RT  Its self driving time go  selfdrivingcars ,positive,"  (0, 3078)	0.12110331252
  (0, 2959)	0.330756296483
  (0, 3062)	0.534023538109
  (0, 1024)	0.455882574096
  (0, 3519)	0.618808693714",positive,positive,positive
80,Tesla completely missed its goal for Model production in September ,negative,"  (0, 3463)	0.237389471366
  (0, 656)	0.390350580515
  (0, 2200)	0.413964226958
  (0, 1462)	0.384432994377
  (0, 2221)	0.369979440565
  (0, 2639)	0.413964226958
  (0, 3113)	0.404804134326",negative,neutral,negative
82,RT  Who is the Juicero of SelfDrivingCarsy latest screed ,neutral,"  (0, 2959)	0.212837843625
  (0, 1892)	0.509563234847
  (0, 3086)	0.515584092799
  (0, 1955)	0.404217080933
  (0, 3025)	0.515584092799",neutral,neutral,neutral
84,wired To Survive the Streets selfdrivingcars Must Learn to Think Like HumansautonomouscarSelfDrivingCar,neutral,"  (0, 3078)	0.0670763287971
  (0, 3382)	0.329453413003
  (0, 2021)	0.276325987376
  (0, 3498)	0.301459985039
  (0, 3337)	0.350132427395
  (0, 1982)	0.358569135749
  (0, 3866)	0.443784410814
  (0, 1662)	0.521169737984",neutral,neutral,neutral
86,RT  Get ready NewYork  selfdrivingcars  may be coming to you  ,positive,"  (0, 3078)	0.105978462564
  (0, 2959)	0.289447440003
  (0, 2762)	0.431093279261
  (0, 2314)	0.678471171792
  (0, 635)	0.508747676724",positive,positive,positive
88,RT  This startup will give selfdrivingcars night vision  via um,positive,"  (0, 3078)	0.0846120294275
  (0, 2959)	0.231091626719
  (0, 3295)	0.426333377471
  (0, 2323)	0.531651547608
  (0, 3768)	0.44911198718
  (0, 3639)	0.522802420315",positive,positive,positive
90,  says that connectedcars  selfdrivingcars will cause insurancerates to go down in the future ,positive,"  (0, 3078)	0.0780672791442
  (0, 1396)	0.258163135543
  (0, 3004)	0.351436505022
  (0, 686)	0.425299862616
  (0, 525)	0.504921669515
  (0, 1787)	0.606567236854",positive,positive,positive
92,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
94,Two selfdrivingcars are better than one automotive technology,positive,"  (0, 3078)	0.126813336034
  (0, 350)	0.655754349735
  (0, 239)	0.569934984059
  (0, 3439)	0.478621692523",positive,positive,positive
96,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
98,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
100, companies leading in autonomousdriving by number of patents ,neutral,"  (0, 256)	0.398870269271
  (0, 648)	0.344746751003
  (0, 1978)	0.510425797545
  (0, 2343)	0.494958971173
  (0, 2476)	0.46533139591",neutral,neutral,neutral
102,Lyft Gets  Billion From Alphabets Investment Arm To Take On Uber via   Mobility selfdrivingcars,positive,"  (0, 3078)	0.0632994416313
  (0, 2217)	0.293620183915
  (0, 3624)	0.216255384689
  (0, 2085)	0.291990899961
  (0, 1444)	0.334828018661
  (0, 363)	0.35877667189
  (0, 102)	0.444200546468
  (0, 1826)	0.405241265991
  (0, 169)	0.418796107554",positive,positive,positive
104,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
106,RT alliance American seniors deserve more independence selfdrivingcars can help them live the life they want ,positive,"  (0, 3078)	0.052358238788
  (0, 2959)	0.14300035888
  (0, 94)	0.361213190663
  (0, 110)	0.323512083885
  (0, 3106)	0.361213190663
  (0, 882)	0.383064216384
  (0, 1742)	0.374587871141
  (0, 1588)	0.269114084707
  (0, 2038)	0.304661530495
  (0, 2016)	0.302970755619
  (0, 3800)	0.25906161615",positive,positive,positive
108,Could selfdriving cars be programmed to avoid hitting kangaroos findoutmore sciencenewsforkids selfdrivingcars ,neutral,"  (0, 3078)	0.0553242623132
  (0, 509)	0.13313192381
  (0, 3071)	0.136814471677
  (0, 2649)	0.381675430149
  (0, 279)	0.350795125336
  (0, 1615)	0.37071353712
  (0, 1900)	0.429858518065
  (0, 1311)	0.429858518065
  (0, 3016)	0.429858518065",neutral,neutral,neutral
110,RT fety Some are worried about cybersecurity in SelfDrivingCars Will  be proactive on this issue  Scoop htt,negative,"  (0, 3078)	0.055579474125
  (0, 2959)	0.151798168353
  (0, 793)	0.30920768762
  (0, 1294)	0.377623340757
  (0, 3893)	0.39763363653
  (0, 2631)	0.406631471867
  (0, 1853)	0.327203358293
  (0, 3022)	0.39763363653
  (0, 1646)	0.383436105736",negative,positive,negative
112,RT er Man dresses up like a car seat to perform selfdriving car research AutonomousVehicles SelfDrivingCars ,positive,"  (0, 3078)	0.0563984892345
  (0, 2959)	0.15403505518
  (0, 2851)	0.279752651942
  (0, 2021)	0.232337823249
  (0, 264)	0.200876164878
  (0, 3071)	0.139470987689
  (0, 492)	0.345078889379
  (0, 1156)	0.357606487146
  (0, 2112)	0.345768444134
  (0, 1005)	0.395773471176
  (0, 3031)	0.326349649925
  (0, 2498)	0.389086392448",positive,positive,positive
114,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
116,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
118,Some are worried about cybersecurity in SelfDrivingCars Will  be proactive on this issue  Scoop ,negative,"  (0, 3078)	0.0670394286462
  (0, 793)	0.372963347304
  (0, 3893)	0.479621878817
  (0, 2631)	0.490474981505
  (0, 1853)	0.394669552679
  (0, 3022)	0.479621878817",negative,positive,negative
120,RT else Here a closer look at Apple secret selfdriving car   via  selfdrivingcars apple dr,positive,"  (0, 3078)	0.0665421920119
  (0, 2959)	0.181739446525
  (0, 3071)	0.164555919296
  (0, 492)	0.203571993044
  (0, 604)	0.363971745074
  (0, 2062)	0.324512551364
  (0, 148)	0.566359780472
  (0, 3039)	0.411152164441
  (0, 998)	0.407957562579",positive,positive,positive
122,American seniors deserve more independence selfdrivingcars can help them live the life they want ,positive,"  (0, 3078)	0.056821378442
  (0, 110)	0.351089016255
  (0, 3106)	0.392003854216
  (0, 882)	0.415717512861
  (0, 1742)	0.406518623975
  (0, 1588)	0.292054003442
  (0, 2038)	0.330631597275
  (0, 2016)	0.328796696764
  (0, 3800)	0.281144638777",positive,positive,positive
124,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
126,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
128,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
130,Get ready NewYork  selfdrivingcars  may be coming to you  ,positive,"  (0, 3078)	0.110717861412
  (0, 2762)	0.450371941564
  (0, 2314)	0.708812671491
  (0, 635)	0.531499074458",positive,positive,positive
132,RT  Developing The Next Generation of Transport  AutonomousVehicles SelfDrivingCars,positive,"  (0, 3078)	0.0884743842206
  (0, 2959)	0.241640455983
  (0, 3574)	0.511956697947
  (0, 264)	0.315121827435
  (0, 907)	0.527410317773
  (0, 1441)	0.542419674585",positive,positive,positive
134,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
136,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
138,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
140,This is wildand maybe a fix for the lookbothways problem  H  selfdrivingcars,positive,"  (0, 3078)	0.0654837512087
  (0, 2142)	0.415213502218
  (0, 3856)	0.508795726774
  (0, 1323)	0.444915920599
  (0, 2063)	0.492068192213
  (0, 2633)	0.352640400592",positive,positive,positive
142,RT  Developing The Next Generation of Transport  AutonomousVehicles SelfDrivingCars,positive,"  (0, 3078)	0.0884743842206
  (0, 2959)	0.241640455983
  (0, 3574)	0.511956697947
  (0, 264)	0.315121827435
  (0, 907)	0.527410317773
  (0, 1441)	0.542419674585",positive,positive,positive
144,RT ate Selfdriving vehicle designed to help commuters reconnect with outside  AI selfdrivingcars htt,positive,"  (0, 3078)	0.0541081241208
  (0, 2959)	0.14777963023
  (0, 70)	0.163203580147
  (0, 3071)	0.133807015322
  (0, 1588)	0.27810825259
  (0, 1646)	0.373285439061
  (0, 197)	0.373285439061
  (0, 3744)	0.25098542651
  (0, 884)	0.337070483889
  (0, 647)	0.362564510416
  (0, 2787)	0.367626554843
  (0, 2434)	0.362564510416",positive,positive,positive
146,RT ate Selfdriving vehicle designed to help commuters reconnect with outside  AI selfdrivingcars htt,positive,"  (0, 3078)	0.0541081241208
  (0, 2959)	0.14777963023
  (0, 70)	0.163203580147
  (0, 3071)	0.133807015322
  (0, 1588)	0.27810825259
  (0, 1646)	0.373285439061
  (0, 197)	0.373285439061
  (0, 3744)	0.25098542651
  (0, 884)	0.337070483889
  (0, 647)	0.362564510416
  (0, 2787)	0.367626554843
  (0, 2434)	0.362564510416",positive,positive,positive
148,RT aris To Survive the StreetsSelfDrivingCars Have to Start Thinking Like Humans fintech ,neutral,"  (0, 2959)	0.200299429139
  (0, 3382)	0.360207158739
  (0, 3338)	0.370535489981
  (0, 3291)	0.352056557221
  (0, 3499)	0.361967261058
  (0, 2021)	0.302120405709
  (0, 1661)	0.316829640439
  (0, 1314)	0.336461664298
  (0, 167)	0.36469996221",neutral,neutral,neutral
150,RT  Could builtin cybersecurity solutions hold the key to autonomous vehicles  selfdrivingcars,positive,"  (0, 3078)	0.0662168371433
  (0, 2959)	0.180850840184
  (0, 252)	0.226222336569
  (0, 3745)	0.278164707714
  (0, 451)	0.449896722667
  (0, 793)	0.368386988487
  (0, 3230)	0.438097918962
  (0, 1616)	0.405962873568
  (0, 1906)	0.373502982902",positive,neutral,neutral
152, s cofounder proposed a protocol that would enable investigators to quickly determine fault of an accide ,positive,"  (0, 620)	0.316846863593
  (0, 2671)	0.32725344356
  (0, 2676)	0.362338866231
  (0, 1124)	0.298551185546
  (0, 1824)	0.362338866231
  (0, 2716)	0.308537369969
  (0, 897)	0.362338866231
  (0, 1273)	0.288144605579
